index,Publishing Year,Book_average_rating,Book_ratings_count,gross sales,publisher revenue,sale price,sales rank,units sold,Popularitas_Buku
70,1947.5,4.17,162373,3161.19625,1802.9512499999998,6.99,73,1415.0,1
71,1953.0,3.95,170453,3161.19625,1802.9512499999998,3.79,75,1384.0,1
72,2008.0,4.46,143622,3161.19625,1802.9512499999998,4.21,75,1384.0,1
73,1993.0,3.9,145161,2724.31,1634.586,1.99,76,1369.0,1
74,2007.0,3.85,127096,3161.19625,1802.9512499999998,3.99,76,1369.0,1
75,1970.0,3.8,133728,3161.19625,0.0,4.99,77,1353.0,1
76,2014.0,4.48,177796,3161.19625,0.0,4.99,78,1338.0,1
77,1986.0,4.34,159703,1309.77,785.862,0.99,79,1323.0,1
78,2006.0,3.64,144591,3161.19625,1802.9512499999998,4.54,80,1307.0,1
79,2013.0,4.32,113565,3161.19625,1802.9512499999998,6.49,80,1307.0,1
80,1977.0,3.87,134106,3161.19625,1802.9512499999998,4.99,81,1292.0,1
81,1987.0,4.23,139052,2539.24,1523.544,1.99,82,1276.0,1
82,2008.0,4.12,138377,3161.19625,0.0,3.99,85,1230.0,1
83,1947.5,3.98,131856,1202.85,0.0,0.99,86,1215.0,1
84,2002.0,4.03,151829,2417.85,1450.71,1.99,86,1215.0,1
85,2000.0,3.97,128406,1188.0,0.0,0.99,87,1200.0,1
86,2010.0,3.7,127186,2388.0,0.0,1.99,87,1200.0,1
87,1947.5,4.09,154517,2356.16,1413.696,1.99,88,1184.0,1
88,2011.0,4.08,136950,1157.31,694.386,0.99,89,1169.0,1
89,1982.0,4.12,157736,1157.31,694.386,0.99,89,1169.0,1
90,1970.0,3.89,151789,1111.77,0.0,0.99,92,1123.0,1
91,2002.0,3.82,129807,3161.19625,1802.9512499999998,4.99,92,1123.0,1
92,2014.0,3.92,125847,2202.93,1321.758,1.99,93,1107.0,1
93,2007.0,4.05,162689,3161.19625,1802.9512499999998,6.49,95,1076.0,1
94,1997.0,3.97,133155,3161.19625,1802.9512499999998,6.49,96,1061.0,1
95,1985.0,4.29,168001,1035.54,621.324,0.99,97,1046.0,1
96,1989.0,4.29,141945,1019.7,0.0,0.99,98,1030.0,1
97,1987.0,4.11,141674,3161.19625,0.0,5.99,99,1015.0,1
98,1998.0,3.69,111856,3161.19625,1802.9512499999998,6.83,99,1015.0,1
99,2013.0,3.94,135635,985.05,0.0,0.99,101,995.0,1
100,2005.0,4.01,169560,3161.19625,1802.9512499999998,5.12,102,990.0,1
101,2011.0,4.01,176433,2195.2,1317.12,2.24,104,980.0,1
102,1959.0,3.99,136886,3161.19625,1802.9512499999998,7.5,105,975.0,1
103,2011.0,3.93,144533,960.3,0.0,0.99,106,970.0,1
104,1991.0,3.88,109692,3161.19625,1802.9512499999998,10.65,108,960.0,1
105,2011.0,4.3,188136,3161.19625,1802.9512499999998,7.99,108,960.0,1
106,1950.0,4.12,143236,1880.55,0.0,1.99,111,945.0,1
107,2010.0,3.64,120126,3161.19625,1802.9512499999998,4.99,112,940.0,1
108,1947.5,3.97,144497,3161.19625,1802.9512499999998,3.99,113,935.0,1
109,2002.0,3.72,131352,1850.7,0.0,1.99,114,930.0,1
110,1956.0,4.02,158701,3161.19625,1802.9512499999998,6.5,116,920.0,1
111,2007.0,4.23,128715,905.85,543.51,0.99,117,915.0,1
112,2008.0,3.9,180961,3161.19625,1802.9512499999998,8.48,117,915.0,1
113,2012.0,4.29,153882,900.9,0.0,0.99,118,910.0,1
114,2007.0,3.84,150003,895.95,537.57,0.99,119,905.0,1
115,1947.5,3.48,148480,891.0,0.0,0.99,120,900.0,0
116,2006.0,3.71,124371,3161.19625,1802.9512499999998,6.49,120,900.0,1
117,2011.0,4.08,146905,3161.19625,1802.9512499999998,11.99,121,895.0,1
118,2009.0,3.89,125195,2661.1,0.0,2.99,122,890.0,1
119,1947.5,3.83,137858,1771.1,1062.66,1.99,122,890.0,1
120,1947.5,3.97,141110,3161.19625,0.0,3.99,123,885.0,1
121,2006.0,4.02,163054,3161.19625,1802.9512499999998,7.5,126,870.0,1
122,1995.0,4.08,98738,3161.19625,0.0,3.99,127,865.0,1
123,2010.0,3.73,119213,3161.19625,1802.9512499999998,7.99,128,860.0,1
